id;modularity_class
(Intercept);4
A00;1
A01;0
A01AA;0
A01AB;4
A01AC;4
A01AD;0
A02;3
A02AA;2
A02AD;4
A02AH;2
A02AX;4
A02BA;4
A02BC;3
A02BD;4
A02BX;4
A03;3
A03AA;4
A03AB;4
A03AE;4
A03AX;4
A03BA;4
A03BB;4
A03DB;0
A03FA;3
A04;4
A04AA;4
A04AD;4
A05;4
A05AA;4
A05AX;1
A05BA;4
A06;3
A06AA;3
A06AB;4
A06AC;4
A06AD;4
A06AG;4
A06AX;4
A07;4
A07AA;4
A07AX;4
A07BC;1
A07CA;0
A07DA;4
A07EA;4
A07EB;0
A07EC;4
A07FA;0
A07XA;4
A08;0
A09;0
A09AA;4
A10AB;1
A10AC;1
A10AD;1
A10AE;1
A10BA;1
A10BB;1
A10BD;1
A10BF;0
A10BG;1
A10BH;1
A10BX;1
A11CA;4
A11CC;2
A11DA;4
A11DB;4
A11EB;2
A11GA;4
A11HA;4
A11JA;4
A12AA;2
A12AX;1
A12BA;1
A12CB;4
A12CC;4
A12CD;4
A12CE;4
A15;4
A16;4
A16AA;4
A16AB;4
A16AX;4
A17;1
A18;4
A23;4
A26;4
A28;3
A31;4
A34;5
A36;1
A37;4
A38;0
A39;0
A40;4
A41;1
A42;1
A46;1
A48;4
A49;0
A50;4
A51;4
A52;4
A53;4
A54;4
A56;5
A59;4
A60;5
A63;4
A64;4
A66;1
A68;4
A69;4
A74;4
A78;0
A79;1
A80;2
A81;4
A84;0
A86;3
A87;4
A88;4
B00;0
B01;1
B01AA;1
B01AB;1
B01AC;1
B01AD;4
B01AE;4
B01AX;4
B02;1
B02AA;3
B02AB;1
B02BA;4
B02BC;4
B02BD;5
B02BX;4
B03AA;5
B03AB;0
B03AC;2
B03AD;4
B03AE;4
B03BA;4
B03BB;2
B03XA;2
B05AA;4
B05BA;4
B05BB;1
B05BC;0
B05CA;4
B05CB;4
B05XA;4
B05XC;4
B06;4
B06AA;3
B07;0
B08;0
B09;0
B15;4
B16;4
B17;4
B18;4
B19;4
B20;4
B22;4
B23;4
B24;4
B25;4
B26;4
B27;4
B30;4
B33;4
B34;0
B35;4
B36;0
B37;5
B39;3
B43;3
B44;3
B46;3
B48;4
B49;5
B50;4
B54;3
B58;4
B67;4
B76;4
B77;4
B78;3
B80;0
B81;0
B82;4
B83;0
B85;0
B86;4
B87;3
B88;4
B90;4
B91;4
B94;4
B95;1
B96;1
B97;4
B98;3
B99;0
C00;4
C01;1
C01AA;1
C01AC;4
C01BA;3
C01BC;1
C01BD;1
C01CA;4
C01CX;4
C01DA;1
C01DX;1
C01EA;1
C01EB;4
C02;1
C02AB;5
C02AC;1
C02CA;1
C02DB;4
C02DC;4
C02KX;1
C03;4
C03AA;1
C03BA;1
C03CA;1
C03DA;1
C03EA;1
C03EB;4
C04;4
C04AD;4
C04AE;4
C04AX;4
C05;4
C05AA;3
C05AD;4
C05AE;4
C05BA;4
C05BB;4
C05CX;3
C06;4
C07;4
C07AA;4
C07AB;1
C07AG;4
C07BA;4
C07BB;1
C07CA;4
C07CB;3
C07DA;1
C07FB;4
C08;1
C08CA;1
C08DA;4
C08DB;4
C08GA;4
C09;4
C09AA;1
C09BA;1
C09BB;1
C09CA;1
C09DA;1
C09DB;1
C09DX;1
C09XA;1
C10;4
C10AA;1
C10AB;4
C10AC;4
C10AD;0
C10AX;4
C10BA;4
C11;4
C13;1
C14;4
C15;4
C16;4
C17;4
C18;4
C19;4
C20;4
C21;4
C22;4
C23;4
C24;4
C25;4
C26;4
C30;4
C31;4
C32;4
C34;4
C37;0
C38;4
C39;3
C40;4
C41;4
C43;4
C44;1
C45;4
C47;4
C48;4
C49;4
C50;4
C51;4
C52;3
C53;4
C54;4
C55;4
C56;4
C57;4
C58;0
C60;4
C61;1
C62;0
C63;4
C64;4
C65;4
C66;4
C67;1
C68;1
C69;4
C70;3
C71;4
C73;4
C74;4
C75;4
C76;4
C77;4
C78;4
C79;4
C80;4
C81;4
C82;4
C83;4
C84;4
C85;4
C88;4
C90;4
C91;4
C92;4
C93;1
C94;0
C95;4
C96;4
C97;4
D00;4
D01;3
D01AA;4
D01AC;0
D01AE;4
D01BA;4
D02;1
D02AB;4
D02AC;0
D02AE;4
D02AF;0
D02AX;0
D03;0
D03AA;0
D03AX;0
D03BA;4
D04;0
D04AA;0
D04AB;4
D04AX;0
D05;4
D05AA;4
D05AC;4
D05AD;0
D05AX;4
D05BB;0
D05BX;0
D06;0
D06AA;4
D06AX;0
D06BA;4
D06BB;4
D06BX;4
D07;0
D07AA;0
D07AB;0
D07AC;0
D07AD;0
D07BA;4
D07BB;4
D07BC;4
D07CA;5
D07CB;4
D07CC;4
D07XA;4
D07XB;4
D07XC;4
D08AA;0
D08AC;1
D08AF;4
D08AG;0
D08AH;0
D08AJ;4
D08AL;5
D08AX;4
D09;1
D09AA;1
D09AX;4
D10;4
D10AD;0
D10AE;5
D10AF;3
D10AX;3
D10BA;3
D11;1
D11AC;4
D11AF;4
D11AH;4
D11AX;4
D12;3
D13;3
D14;4
D15;2
D16;4
D17;3
D18;3
D20;4
D21;3
D22;3
D23;3
D24;3
D25;3
D26;4
D27;5
D28;4
D29;1
D30;4
D31;4
D32;4
D33;4
D34;3
D35;4
D36;3
D37;4
D38;1
D39;5
D40;1
D41;1
D42;4
D43;4
D44;4
D45;4
D46;1
D47;4
D48;3
D50;5
D51;1
D52;1
D53;4
D55;4
D56;5
D57;4
D58;4
D59;4
D60;4
D61;4
D62;1
D63;1
D64;1
D65;4
D66;4
D67;0
D68;1
D69;1
D70;4
D71;4
D72;4
D73;4
D75;4
D76;4
D80;0
D81;4
D82;4
D83;4
D84;5
D86;4
D89;4
D90;4
E00;4
E01;3
E02;4
E03;3
E04;3
E05;3
E06;3
E07;3
E10;1
E11;1
E12;4
E13;1
E14;1
E15;1
E16;1
E20;4
E21;2
E22;4
E23;4
E24;4
E25;4
E26;4
E27;4
E28;5
E29;4
E30;4
E31;4
E32;4
E34;3
E35;4
E41;4
E43;4
E44;4
E45;0
E46;4
E50;4
E51;1
E52;3
E53;1
E54;1
E55;3
E56;4
E58;4
E59;0
E60;4
E61;5
E63;1
E64;0
E65;1
E66;1
E67;0
E68;4
E70;0
E71;4
E72;4
E73;3
E74;4
E75;4
E76;4
E77;4
E78;1
E79;1
E80;4
E83;1
E84;4
E85;4
E86;1
E87;1
E88;1
E89;3
E90;4
F00;1
F01;1
F02;1
F03;1
F04;4
F05;1
F06;1
F07;1
F09;4
F10;4
F11;4
F12;4
F13;4
F14;4
F15;4
F17;3
F18;3
F19;4
F20;2
F21;4
F22;2
F23;2
F25;2
F28;1
F29;2
F30;2
F31;2
F32;3
F33;3
F34;3
F38;4
F39;4
F40;3
F41;3
F42;4
F43;3
F44;4
F45;3
F48;3
F50;0
F51;3
F52;3
F53;0
F54;4
F55;4
F59;4
F60;3
F61;4
F62;3
F63;4
F64;4
F65;4
F66;5
F68;4
F69;4
F70;0
F71;4
F72;1
F73;4
F74;0
F79;4
F80;0
F81;0
F82;0
F83;0
F84;0
F88;4
F89;0
F90;0
F91;0
F92;0
F93;0
F94;0
F95;0
F98;0
F99;2
G00;0
G01;4
G01AA;4
G01AC;0
G01AF;5
G01AX;4
G02;0
G02AB;5
G02BA;3
G02BB;0
G02CA;5
G02CB;5
G03;3
