Source,Target,Weight,weight_original,p-value,prevalence Source,incidence Target,Incidence_Target_ConditionSource,Mean_age_Incidence_Target,Mean_age_Incidence_Target_ConditionSource,Flag_toBeDeleted
I10,B01AC,3.196882842,1.162176223,2.11E-42,0.208194987,0.009824767,0.006294973,72,72,
I25,B01AC,2.302214716,0.83387158,9.10E-16,0.035004661,0.009824767,0.002555696,72,72,
E78,B01AC,1.4897663,0.398619262,2.91E-06,0.136373634,0.009824767,0.004095399,72,72,
E11,B01AC,1.579925697,0.457377819,9.07E-07,0.058163041,0.009824767,0.002566171,72,72,
E79,B01AC,1.313965895,0.273049965,0.012675043,0.034910394,0.009824767,0.001455909,72,72,
C03CA,B01AC,1.629811227,0.488464196,4.54E-05,0.023074587,0.009824767,0.001518754,72,72,
C01DA,B01AC,1.711023414,0.537091679,0.001159151,0.0072167,0.009824767,0.000649398,72,72,
A11EB,B01AC,9.963496087,2.298928023,0.001091925,0.00012569,0.009824767,4.19E-05,72,72,
N14,B01AC,16.01191744,2.773333285,0.001072765,7.33E-05,0.009824767,3.14E-05,72,72,
H45,B01AC,116.2795358,4.755997084,0.001601805,3.14E-05,0.009824767,2.09E-05,72,72,
I10,C07AB,3.056907245,1.117403701,7.37E-67,0.146279715,0.020044362,0.009139579,61,61,
A11CC,C07AB,2.229153809,0.801622056,0.002672173,0.002392317,0.020044362,0.000267103,61,61,
A02BC,C07AB,1.386808838,0.327005308,0.000171347,0.048694097,0.020044362,0.002705873,61,61,
I61,C07AB,5.069709289,1.623283477,0.000431322,0.000429688,0.020044362,9.29E-05,61,61,
C09AA,C07AB,1.201015574,0.183167511,0.026007065,0.044466897,0.020044362,0.00294975,61,61,
M51,C07AB,1.592845642,0.465522129,4.68E-06,0.033411142,0.020044362,0.001614233,61,61,
C64,C07AB,3.192436506,1.16078442,0.000534425,0.000998734,0.020044362,0.000150971,61,61,
C02AB,C07AB,20.52513167,3.02165007,0.000112568,0.000104519,0.020044362,3.48E-05,61,61,
J17,C07AB,42.21717492,3.742827127,0.008395721,3.48E-05,0.020044362,2.32E-05,61,61,
Geschlecht,E04,2.183743611,0.781040657,7.06E-112,0.515115766,0.05092613,0.015325248,51,51,
F03,E04,3.907698822,1.362948664,1.09E-10,0.010705623,0.05092613,0.000297685,51,51,
F48,E04,1.404432348,0.339633198,0.005168105,0.009845645,0.05092613,0.001025358,51,51,
R01AA,E04,7.852769956,2.06086633,2.34E-06,0.018235943,0.05092613,6.62E-05,51,51,
H03AA,E04,2.694272037,0.991128052,1.33E-80,0.039790518,0.05092613,0.007420066,51,51,
H03CA,E04,3.177115694,1.155973771,0.000617412,0.000727674,0.05092613,0.000154355,51,51,
H03BB,E04,2.535466897,0.9303778,5.67E-05,0.001786108,0.05092613,0.000352811,51,51,
G59,E04,20.04195013,2.997827583,0.000102239,8.82E-05,0.05092613,4.41E-05,51,51,
A23,E04,40.58328628,3.703356314,0.005820922,3.31E-05,0.05092613,2.21E-05,51,51,
D42,E04,15.92217399,2.767712728,0.030753941,3.31E-05,0.05092613,2.21E-05,51,51,
Alter,F03,1.124636526,0.117459895,0,43.27955098,0.020275148,1.599886118,81,81,
M81,F03,1.343628772,0.295373993,0.000194355,0.027341963,0.020275148,0.003314794,81,81,
F06,F03,1.856412569,0.618645899,8.08E-05,0.004423114,0.020275148,0.00105748,81,81,
N05AD,F03,2.787644015,1.0251968,1.14E-07,0.002969079,0.020275148,0.000823614,81,81,
E11,F03,1.241668949,0.216456401,0.000893495,0.066600913,0.020275148,0.00550093,81,81,
I67,F03,1.259748577,0.230912159,0.024432589,0.012120349,0.020275148,0.001820086,81,81,
N06BX,F03,2.520453814,0.92443897,0.00290123,0.000823614,0.020275148,0.00026437,81,81,
N04BA,F03,1.663175776,0.508728893,0.007546981,0.004453618,0.020275148,0.000874455,81,81,
I69,F03,1.736222572,0.551711818,0.001732886,0.003670676,0.020275148,0.000681261,81,81,
N06DA,F03,9.204476782,2.219689972,4.55E-09,0.000549076,0.020275148,0.000376219,81,81,
A10AD,F03,1.383541904,0.324646808,0.049442851,0.003640172,0.020275148,0.000660925,81,81,
N06DX,F03,10.4403442,2.345677551,1.11E-07,0.000498236,0.020275148,0.000366051,81,81,
Z30,I10,1.124491765,0.117331169,0.023766602,0.098838779,0.126028682,0.007106613,52,52,
C07AB,I25,1.35565703,0.30428623,3.08E-09,0.064277607,0.040235663,0.008918437,67,67,
I10,I25,1.364657076,0.310903171,6.41E-11,0.191849089,0.040235663,0.022679855,67,67,
A02BC,I25,1.227000115,0.204572259,0.000299064,0.053532242,0.040235663,0.005967245,67,67,
E78,I25,1.154679551,0.14382286,0.001381856,0.124404086,0.040235663,0.013545214,67,67,
E11,I25,1.331236069,0.286107886,3.19E-07,0.051132371,0.040235663,0.008248203,67,67,
