ICD3;Name_deutsch;Name_englisch;Cluster
A00;Cholera;Cholera;1
A01;Typhus abdominalis und Paratyphus;Typhoid and paratyphoid fevers;0
A02;Sonstige Salmonelleninfektionen;Other salmonella infections;3
A03;Shigellose [Bakterielle Ruhr];Shigellosis;3
A04;Sonstige bakterielle Darminfektionen;Other bacterial intestinal infections;4
A05;Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert;Other bacterial foodborne intoxications, not elsewhere classified;4
A06;Amöbiasis;Amebiasis;3
A07;Sonstige Darmkrankheiten durch Protozoen;Other protozoal intestinal diseases;4
A08;Virusbedingte und sonstige näher bezeichnete Darminfektionen;Viral and other specified intestinal infections;0
A09;Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen und nicht näher bezeichneten Ursprungs;Infectious gastroenteritis and colitis, unspecified;0
A15;Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert;Respiratory tuberculosis;4
A16;Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert;Respiratory tuberculosis, not confirmed bacteriologically or histologically;4
A17;Tuberkulose des Nervensystems;Tuberculosis of nervous system;1
A18;Tuberkulose sonstiger Organe;Tuberculosis of other organs;4
A19;Miliartuberkulose;Miliary tuberculosis;
A20;Pest;Plague;
A21;Tularämie;Tularemia;
A22;Anthrax [Milzbrand];Anthrax;
A23;Brucellose;Brucellosis;4
A24;Rotz [Malleus] und Melioidose [Pseudorotz];Glanders and melioidosis;
A25;Rattenbisskrankheiten;Rat-bite fevers;
A26;Erysipeloid;Erysipeloid;4
A27;Leptospirose;Leptospirosis;
A28;Sonstige bakterielle Zoonosen, anderenorts nicht klassifiziert;Other zoonotic bacterial diseases, not elsewhere classified;3
A30;Lepra [Aussatz];Leprosy [Hansen's disease];
A31;Infektion durch sonstige Mykobakterien;Infection due to other mycobacteria;4
A32;Listeriose;Listeriosis;
A33;Tetanus neonatorum;Tetanus neonatorum;
A34;Tetanus während der Schwangerschaft, der Geburt und des Wochenbettes;Obstetrical tetanus;5
A35;Sonstiger Tetanus;Other tetanus;
A36;Diphtherie;Diphtheria;1
A37;Keuchhusten;Whooping cough;4
A38;Scharlach;Scarlet fever;0
A39;Meningokokkeninfektion;Meningococcal infection;0
A40;Streptokokkensepsis;Streptococcal sepsis;4
A41;Sonstige Sepsis;Other sepsis;1
A42;Aktinomykose;Actinomycosis;1
A43;Nokardiose;Nocardiosis;
A44;Bartonellose;Bartonellosis;
A46;Erysipel [Wundrose];Erysipelas;1
A48;Sonstige bakterielle Krankheiten, anderenorts nicht klassifiziert;Other bacterial diseases, not elsewhere classified;4
A49;Bakterielle Infektion nicht näher bezeichneter Lokalisation;Bacterial infection of unspecified site;0
A50;Syphilis connata;Congenital syphilis;4
A51;Frühsyphilis;Early syphilis;4
A52;Spätsyphilis;Late syphilis;4
A53;Sonstige und nicht näher bezeichnete Syphilis;Other and unspecified syphilis;4
A54;Gonokokkeninfektion;Gonococcal infection;4
A55;Lymphogranuloma inguinale (venereum) durch Chlamydien;Chlamydial lymphogranuloma (venereum);
A56;Sonstige durch Geschlechtsverkehr übertragene Chlamydienkrankheiten;Other sexually transmitted chlamydial diseases;5
A57;Ulcus molle (venereum);Chancroid;
A58;Granuloma venereum (inguinale);Granuloma inguinale;
A59;Trichomoniasis;Trichomoniasis;4
A60;Infektionen des Anogenitalbereiches durch Herpesviren [Herpes simplex];Anogenital herpesviral [herpes simplex] infections;5
A63;Sonstige vorwiegend durch Geschlechtsverkehr übertragene Krankheiten, anderenorts nicht klassifiziert;Other predominantly sexually transmitted diseases, not elsewhere classified;4
A64;Durch Geschlechtsverkehr übertragene Krankheiten, nicht näher bezeichnet;Unspecified sexually transmitted disease;4
A65;Nichtvenerische Syphilis;Nonvenereal syphilis;
A66;Frambösie;Yaws;1
A67;Pinta [Carate];Pinta [carate];
A68;Rückfallfieber;Relapsing fevers;4
A69;Sonstige Spirochäteninfektionen;Other spirochetal infections;4
A70;Infektionen durch Chlamydia psittaci;Chlamydia psittaci infections;
A71;Trachom;Trachoma;
A74;Sonstige Krankheiten durch Chlamydien;Other diseases caused by chlamydiae;4
A75;Fleckfieber;Typhus fever;
A77;Zeckenbissfieber [Rickettsiosen, durch Zecken übertragen];Spotted fever [tick-borne rickettsioses];
A78;Q-Fieber;Q fever;0
A79;Sonstige Rickettsiosen;Other rickettsioses;1
A80;Akute Poliomyelitis [Spinale Kinderlähmung];Acute poliomyelitis;2
A81;Atypische Virusinfektionen des Zentralnervensystems;Atypical virus infections of central nervous system;4
A82;Tollwut [Rabies];Rabies;
